timeslot,Seattle (OR),Cheyenne (WY),Chicago (PJM),New York (NY),Kansas City (KS),Berkeley County (SC)
0,71.98,688.43,495.25,363.54,702.16,528.81
1,60.0,693.29,500.47,373.34,716.42,534.1
2,56.27,727.55,505.85,377.27,711.25,533.4
3,55.56,748.9,500.22,376.48,702.06,530.31
4,69.31,748.05,489.71,367.32,685.01,510.89
5,95.07,728.66,476.68,351.86,694.15,504.84
6,98.02,732.56,465.14,337.33,692.21,505.01
7,118.03,744.41,457.56,331.78,698.58,500.75
8,149.43,754.29,450.59,331.1,696.68,497.72
9,158.15,778.11,454.23,338.2,693.42,501.17
10,160.9,796.32,461.08,345.93,701.22,505.42
11,158.21,829.22,462.17,348.79,697.45,502.85
12,111.96,830.4,462.77,354.62,714.51,499.44
13,110.5,762.6,462.45,358.71,719.28,493.61
14,108.88,693.39,458.97,362.93,719.65,481.34
15,109.44,670.42,462.51,367.69,705.27,477.2
16,110.97,671.67,462.39,365.66,702.86,490.68
17,106.72,645.77,455.77,363.79,701.95,492.13
18,102.82,646.57,441.63,359.59,687.28,488.41
19,104.32,638.28,445.48,358.42,667.93,479.68
20,94.06,644.32,448.87,366.06,658.64,480.42
21,74.23,679.78,451.2,355.39,655.06,488.24
22,59.32,717.66,454.15,351.06,659.71,503.82
23,56.01,737.66,465.83,352.15,664.6,515.58
24,63.6,733.51,479.43,356.06,663.54,516.01
25,64.45,697.32,482.36,356.88,672.0,518.35
26,79.18,736.7,481.93,369.21,689.31,514.37
27,66.66,745.45,481.33,366.54,717.91,506.25
28,67.43,759.49,469.57,358.63,748.56,502.82
29,97.28,787.51,462.0,347.62,738.03,485.37
30,86.78,831.62,451.52,332.26,685.53,477.11
31,75.52,867.93,444.38,328.97,665.05,471.05
32,78.67,887.32,440.5,324.01,642.33,466.06
33,94.93,867.0,441.63,332.43,618.47,469.56
34,94.38,857.95,446.91,338.34,616.79,480.18
35,91.61,862.21,444.0,342.86,663.8,478.63
36,91.05,849.56,434.83,350.34,711.51,481.11
37,89.86,774.84,431.01,358.2,708.01,484.0
38,95.03,702.98,436.01,359.31,702.24,481.16
39,94.95,657.53,444.47,362.62,694.6,477.84
40,94.64,652.62,447.7,363.43,689.39,476.5
41,92.11,644.13,449.66,367.24,689.49,484.96
42,88.59,649.39,443.63,370.52,681.62,496.62
43,85.61,653.42,443.83,366.63,657.55,496.15
44,80.83,671.57,447.79,358.8,655.46,491.31
45,74.01,651.69,450.44,357.04,652.64,491.19
46,64.43,598.33,455.73,347.66,649.26,490.25
47,66.8,607.77,467.72,359.95,639.17,499.54
48,58.72,574.01,478.74,362.23,641.06,506.07
49,50.99,574.19,479.27,362.36,645.26,513.7
50,43.64,653.37,483.16,365.78,634.58,508.35
