timeslot,Seattle (OR),Cheyenne (WY),Chicago (PJM),New York (NY),Kansas City (KS),Berkeley County (SC)
0,49.07,761.9,427.77,259.87,683.58,413.54
1,48.35,796.95,418.09,246.23,684.36,395.51
2,53.64,793.99,419.46,237.14,698.91,390.92
3,56.54,801.1,415.82,219.03,695.44,408.52
4,57.16,827.58,410.35,212.46,695.16,405.08
5,60.92,842.74,403.7,210.94,695.17,395.62
6,70.47,860.58,392.86,208.18,708.92,394.13
7,74.24,856.7,385.66,198.41,730.26,392.8
8,70.64,851.27,381.59,199.46,724.77,389.71
9,71.96,826.56,380.81,200.76,699.8,383.4
10,80.65,806.89,373.01,202.73,682.66,381.94
11,80.67,804.68,367.18,201.85,678.15,380.62
12,80.26,813.67,373.75,202.54,673.37,371.52
13,76.7,820.04,375.73,209.17,672.39,367.05
14,67.23,813.2,383.92,213.18,704.63,372.18
15,62.86,795.97,398.98,210.5,710.36,381.04
16,69.38,734.81,407.47,217.39,707.21,394.6
17,70.45,651.44,416.96,216.14,703.54,399.96
18,70.35,635.31,420.93,216.83,702.11,403.82
19,71.74,634.16,418.98,220.95,678.26,407.04
20,73.57,625.68,418.6,222.44,676.45,404.01
21,72.81,643.74,421.14,234.47,661.43,394.41
22,72.62,651.9,419.77,248.19,660.18,385.74
23,60.97,638.57,421.53,243.05,650.63,395.6
24,51.08,653.74,418.02,237.18,662.57,396.39
25,49.89,667.55,415.91,227.59,667.35,389.82
26,52.33,669.11,416.06,222.34,673.12,388.17
27,50.79,648.87,412.54,218.96,708.53,396.22
28,54.13,652.17,408.17,228.26,718.11,406.89
29,56.26,633.21,403.58,205.97,723.95,402.78
30,60.06,607.53,395.63,194.32,711.53,392.21
31,60.6,566.94,385.32,191.78,695.65,392.75
32,64.43,524.27,383.62,185.59,699.47,394.84
33,58.98,505.79,386.56,184.21,710.72,386.28
34,56.0,503.45,390.87,191.28,731.27,384.14
35,60.65,513.66,396.48,194.36,729.05,388.54
36,61.01,523.04,396.36,197.67,725.6,387.17
37,58.22,531.33,400.85,206.64,711.68,392.99
38,51.18,562.89,399.73,211.01,701.06,396.1
39,48.57,555.85,399.02,211.38,706.03,399.87
40,50.06,508.41,397.06,208.84,714.14,400.55
41,52.35,436.99,394.44,204.85,721.32,396.45
42,52.34,413.86,392.86,206.19,730.01,398.47
43,49.69,404.32,394.59,215.02,733.57,397.19
44,48.27,396.96,398.14,218.56,737.72,385.67
45,51.33,385.86,404.58,226.79,739.59,388.68
46,50.47,445.22,405.76,242.4,733.62,392.93
47,47.91,568.67,419.06,246.89,729.74,400.14
48,50.09,620.13,418.19,242.62,731.63,400.72
49,50.77,615.82,422.94,235.63,734.95,402.43
50,49.41,605.89,420.5,228.71,730.58,405.52
51,51.35,592.28,416.99,225.37,732.58,416.29
52,51.75,582.3,411.66,222.56,737.53,417.99
53,45.66,577.47,399.78,217.05,735.73,414.15
54,44.43,587.16,394.91,209.05,734.44,409.7
55,44.8,576.27,391.79,201.96,735.91,407.36
